UID          PID    PPID  C STIME TTY          TIME CMD
rnyhof      5210    2247  4 08:59 ?        00:16:22 /usr/lib64/firefox/firefox
rnyhof      5303    5210  0 08:59 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20240501044531 -prefsLen 30889 -prefMapSize 242667 -appDir /usr/lib64/firefox/browser {eb7e0702-bb1c-451d-bc61-98e6efae1ba1} 5210 true socket
rnyhof      5321    5210  0 08:59 ?        00:00:54 /usr/lib64/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 30954 -prefMapSize 242667 -jsInitLen 234952 -parentBuildID 20240501044531 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {a6e4281a-61c2-4a62-b2e8-d49cbe5fbfac} 5210 true tab
rnyhof      5347    5210  0 08:59 ?        00:00:03 /usr/lib64/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 31960 -prefMapSize 242667 -jsInitLen 234952 -parentBuildID 20240501044531 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {81351e94-6400-4515-b14d-ea92e31d5d67} 5210 true tab
rnyhof      5435    5210  0 08:59 ?        00:00:02 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20240501044531 -sandboxingKind 0 -prefsLen 36470 -prefMapSize 242667 -appDir /usr/lib64/firefox/browser {f16e8490-8bc8-4728-8b43-90a2904b2d04} 5210 true utility
rnyhof      5455    5210  0 08:59 ?        00:02:54 /usr/lib64/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 31900 -prefMapSize 242667 -jsInitLen 234952 -parentBuildID 20240501044531 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {8db1a79b-fb72-43b5-bf0a-8ae1ffe012cb} 5210 true tab
rnyhof      5977    3847  1 09:00 ?        00:04:18 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3835 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=41 --time-ticks-at-unix-epoch=-1714978027429309 --launch-time-ticks=789955376 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,11408848637100910493,11379338191643417580,262144 --variations-seed-version=20240502-113422.320000
rnyhof      6172    5210  0 09:04 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20240501044531 -prefsLen 36746 -prefMapSize 242667 -appDir /usr/lib64/firefox/browser {e2a2fb25-8525-408c-8fb4-405713caad43} 5210 true rdd
rnyhof      8225    5210  0 09:49 ?        00:00:52 /usr/lib64/firefox/firefox -contentproc -childID 11 -isForBrowser -prefsLen 32224 -prefMapSize 242667 -jsInitLen 234952 -parentBuildID 20240501044531 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {6556463c-371b-4a1e-a094-bfbd022eb5cb} 5210 true tab
rnyhof      8519    2247  0 09:52 ?        00:00:25 /usr/NX/bin/nxplayer.bin
root        9694       2  0 10:20 ?        00:00:02 [kworker/2:0-mm_percpu_wq]
root       10439       2  0 10:40 ?        00:00:23 [kworker/u17:1-i915_flip]
root       11378       2  0 11:06 ?        00:00:01 [kworker/3:2-events]
rnyhof     15807    5210  4 13:17 ?        00:03:36 /usr/lib64/firefox/firefox -contentproc -childID 13 -isForBrowser -prefsLen 32271 -prefMapSize 242667 -jsInitLen 234952 -parentBuildID 20240501044531 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {fa824cea-4341-4e15-ab99-db4ac762cb5c} 5210 true tab
root       16187       2  0 13:25 ?        00:00:01 [kworker/u16:3-flush-259:0]
root       16369       2  0 13:29 ?        00:00:00 [kworker/6:2-i915-unordered]
root       17073       2  0 13:36 ?        00:00:00 [kworker/5:1-xfs-conv/nvme0n1p4]
