UID          PID    PPID  C STIME TTY          TIME CMD
rnyhof      2529    2421  0 04:18 ?        00:00:06 /usr/bin/akonadi_mailfilter_agent --identifier akonadi_mailfilter_agent
rnyhof      2532    2421  0 04:18 ?        00:00:08 /usr/bin/akonadi_mailmerge_agent --identifier akonadi_mailmerge_agent
rnyhof      2536    2421  0 04:18 ?        00:00:05 /usr/bin/akonadi_migration_agent --identifier akonadi_migration_agent
rnyhof      2538    2421  0 04:18 ?        00:00:06 /usr/bin/akonadi_newmailnotifier_agent --identifier akonadi_newmailnotifier_agent
rnyhof      2541    2421  0 04:18 ?        00:00:08 /usr/bin/akonadi_sendlater_agent --identifier akonadi_sendlater_agent
rnyhof      2543    2421  0 04:18 ?        00:00:07 /usr/bin/akonadi_unifiedmailbox_agent --identifier akonadi_unifiedmailbox_agent
root        2639       1  0 04:18 ?        00:00:00 /usr/libexec/nm-openvpn-service --bus-name org.freedesktop.NetworkManager.openvpn.Connection_3
nm-open+    2647    2639  0 04:18 ?        00:00:59 /usr/sbin/openvpn --remote frankfurt.eyefreight.com 1194 udp --explicit-exit-notify --nobind --dev tun --auth SHA512 --auth-nocache --tls-auth /home/rnyhof/.cert/nm-openvpn/frankfurt-tls-auth.pem 1 --remote-cert-tls server --reneg-sec 0 --verb 1 --syslog nm-openvpn --script-security 2 --up /usr/libexec/nm-openvpn-service-openvpn-helper --debug 0 2639 --bus-name org.freedesktop.NetworkManager.openvpn.Connection_3 --tun -- --up-restart --persist-key --persist-tun --management /var/run/NetworkManager/nm-openvpn-e0063200-34cf-48af-842f-c11b9c1bac1f unix --management-client-user root --management-client-group root --management-query-passwords --auth-retry interact --route-noexec --ifconfig-noexec --client --ca /home/rnyhof/.cert/nm-openvpn/frankfurt-ca.pem --cert /home/rnyhof/.cert/nm-openvpn/frankfurt-cert.pem --key /home/rnyhof/.cert/nm-openvpn/frankfurt-key.pem --user nm-openvpn --group nm-openvpn
rnyhof      2677    1916  0 04:18 ?        00:01:50 /usr/bin/konsole
root        3174       1  0 04:26 ?        00:00:00 /usr/sbin/pcscd --foreground --auto-exit
rnyhof     33850    2677  0 09:09 pts/4    00:00:00 /bin/ksh -l
rnyhof     36418    1916  3 10:13 ?        00:07:10 /usr/lib64/firefox/firefox
rnyhof     36429    1307  0 10:13 ?        00:00:06 /usr/libexec/cgroupify app-firefox-6a9e4a7ab50e469d82c293c81a3093d3.scope
rnyhof     36484   36418  0 10:13 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20240307150328 -prefsLen 31127 -prefMapSize 238299 -appDir /usr/lib64/firefox/browser {5cb85384-99bb-48b1-b9f5-3fcda0dc8150} 36418 true socket
rnyhof     36523   36418  0 10:13 ?        00:00:03 /usr/lib64/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 31230 -prefMapSize 238299 -jsInitLen 235124 -parentBuildID 20240307150328 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {bee8962f-d6da-4c5e-b4ae-e70c473304c4} 36418 true tab
rnyhof     36577   36418  0 10:13 ?        00:00:29 /usr/lib64/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 36526 -prefMapSize 238299 -jsInitLen 235124 -parentBuildID 20240307150328 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {adf087b2-b8f8-4626-9488-43cbaa2b467b} 36418 true tab
rnyhof     36625   36418  0 10:13 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20240307150328 -sandboxingKind 0 -prefsLen 36514 -prefMapSize 238299 -appDir /usr/lib64/firefox/browser {f0d1af92-386d-4377-8722-efaab70dd974} 36418 true utility
rnyhof     37152   36418  0 10:21 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20240307150328 -prefsLen 36536 -prefMapSize 238299 -appDir /usr/lib64/firefox/browser {3088190f-a7a7-4353-80b7-d146fd9d9585} 36418 true rdd
rnyhof     37409   36418  0 10:29 ?        00:00:56 /usr/lib64/firefox/firefox -contentproc -childID 13 -isForBrowser -prefsLen 31741 -prefMapSize 238299 -jsInitLen 235124 -parentBuildID 20240307150328 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {5222d945-29c2-46a8-ad62-4c3717d426ff} 36418 true tab
rnyhof     38250   36418  1 10:54 ?        00:01:55 /usr/lib64/firefox/firefox -contentproc -childID 17 -isForBrowser -prefsLen 31741 -prefMapSize 238299 -jsInitLen 235124 -parentBuildID 20240307150328 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {588a200c-c426-4138-82bb-1bddec9ec612} 36418 true tab
rnyhof     40350   36418  0 11:50 ?        00:00:21 /usr/lib64/firefox/firefox -contentproc -childID 18 -isForBrowser -prefsLen 31798 -prefMapSize 238299 -jsInitLen 235124 -parentBuildID 20240307150328 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {b2a5da6e-7e34-4c16-bd48-46bf324358ee} 36418 true tab
rnyhof     40354   36418  0 11:50 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -childID 19 -isForBrowser -prefsLen 31798 -prefMapSize 238299 -jsInitLen 235124 -parentBuildID 20240307150328 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {103c3275-e1b3-4d03-a701-bef2ba78d80e} 36418 true tab
root       40468       2  0 12:07 ?        00:00:00 [kworker/u5:1-events_unbound]
postfix    40533    1144  0 12:36 ?        00:00:00 pickup -l -t unix -u
rnyhof     40608   36418  0 12:47 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -childID 20 -isForBrowser -prefsLen 31798 -prefMapSize 238299 -jsInitLen 235124 -parentBuildID 20240307150328 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {c4ebe9e6-e8a0-4bf7-b353-119ca9ac6d99} 36418 true tab
root       40994       2  0 12:52 ?        00:00:00 [kworker/1:0H-kblockd]
root       42723       2  0 13:08 ?        00:00:00 [kworker/1:2H-kblockd]
